author_name,birth_date,death_date,author_date,biography,photo,ol_key,created_by,created_at,last_modified_by,last_modified_at,revision
"Arthur Miller","1915","2005",null,"Arthur Asher Miller was an American playwright, essayist and screenwriter in the 20th-century American theater. Among his most popular plays are All My Sons (1947), Death of a Salesman (1949), The Crucible (1953), and A View from the Bridge (1955). He wrote several screenplays and was most noted for his work on The Misfits (1961). The drama Death of a Salesman is considered one of the best American plays of the 20th century.","6841062","/authors/OL21569A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Ernest Cline","1972-03-29",null,null,"ERNEST CLINE is an internationally best-selling novelist, screenwriter, father, and full-time geek. He is the author of the novels Ready Player One and Armada and co-screenwriter of the film adaptation of Ready Player One, directed by Steven Spielberg. His books have been published in over fifty countries and have spent more than 100 weeks on The New York Times Best Sellers list. He lives in Austin, Texas, with his family, a time-traveling DeLorean, and a large collection of classic video games.","8432693","/authors/OL6941868A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Anthony Doerr","1973",null,null,"Anthony Doerr was born and raised in Cleveland, Ohio. He is the author of the story collections The Shell Collector and Memory Wall, the memoir Four Seasons in Rome, and the novels About Grace and All the Light We Cannot See, which was awarded the 2015 Pulitzer Prize for fiction and the 2015 Andrew Carnegie Medal for Excellence in Fiction.    Doerr’s short stories and essays have won four O. Henry Prizes and been anthologized in The Best American Short Stories, New American Stories, The Best American Essays, The Scribner Anthology of Contemporary Fiction, and lots of other places. His work has been translated into over forty languages and won the Barnes & Noble Discover Prize, the Rome Prize, the New York Public Library’s Young Lions Award, a Guggenheim Fellowship, an NEA Fellowship, an Alex Award from the American Library Association, the National Magazine Award for Fiction, four Pushcart Prizes, two Pacific Northwest Book Awards, four Ohioana Book Awards, the 2010 Story Prize, which is considered the most prestigious prize in the U.S. for a collection of short stories, and the Sunday Times EFG Short Story Award, which is the largest prize in the world for a single short story. All the Light We Cannot See was a #1 New York Times bestseller, and remained on the hardcover fiction bestseller list for 134 consecutive weeks.    Doerr lives in Boise, Idaho with his wife and two sons. A number of media interviews with him are collected here. Though he is often asked, as far as he knows he is not related to the late writer Harriet Doerr.  ([source][1])        [1]: http://anthonydoerr.com/biography/","8569674","/authors/OL1392722A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Robert Greene","14 May 1959",null,null,"Robert Greene (born May 14, 1959) is an American author known for his books on strategy, power, and seduction. He has written six international bestsellers: *The 48 Laws of Power*, *The Art of Seduction*, *The 33 Strategies of War*, *The 50th Law* (with rapper 50 Cent), *Mastery*, and *The Laws of Human Nature*.    **Source**: <a href='https://en.wikipedia.org/wiki/Robert_Greene_(American_author)' target='blanck'>Robert Greene</a> on Wikipedia","10360568","/authors/OL236414A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Brandon Sanderson","19 December 1975",null,null,"I'm Brandon Sanderson, and I write stories of the fantastic: fantasy, science fiction, and thrillers.    Mistborn and The Way of Kings are among my most popular works, as are my concluding volumes to Robert Jordan's epic series The Wheel of Time. My novella The Emperor's Soul won a Hugo Award in 2013. This year also marked the release of my first young adult fantasy, The Rithmatist. In early 2014 I'll be putting out Words of Radiance, the second book in my grand epic The Stormlight Archive.","7252549","/authors/OL1394865A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Jane Austen","December 16, 1775","July 18, 1817",null,"Jane Austen was an English writer. Although Austen was widely read in her lifetime, she published her works anonymously. The most urgent preoccupations of her bright, young heroines are courtship and marriage. Austen herself never married. Her best-known books include *Pride and Prejudice* (1813) and *Emma* (1816). Virginia Woolf called Austen 'the most perfect artist among women.","7005426","/authors/OL21594A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Jerry Pournelle","1933","2017",null,null,"6676594","/authors/OL220399A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Shirley Jackson","14 Dec 1916","8 Aug 1965",null,"Shirley Hardie Jackson (December 14, 1916 – August 8, 1965) was an American writer, known primarily for her works of horror and mystery.    **Source**: [Shirley Jackson](https://en.wikipedia.org/wiki/Shirley_Jackson) on Wikipedia.","7280455","/authors/OL507165A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Robert T. Kiyosaki","8 Apr 1947",null,null,null,"12355041","/authors/OL242220A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"John Tiffany",null,null,null,null,null,"/authors/OL7294929A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
