title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,created_by,created_at,last_modified_by,last_modified_at,revision
"Prestuplenīe i nakazanīe","romanʺ vʺ shesti chasti︠a︡khʺ sʺ ėpilogomʺ",null,"651 pages",null,null,null,null,null,null,null,null,null,null,null,"Russian",null,null,null,null,"/books/OL43524023M",10,"1",224,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Days of grass","genealogy of the Fulford family in America",null,"xi, 170 p. :",null,null,null,null,null,null,null,null,"87110138",null,null,"English",null,null,null,null,"/books/OL2424527M",110,"2",21,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"A guide to the Education Act, 1918",null,null,"1 p. l., 116, iv p.",null,null,null,null,null,null,null,null,"19009733",null,null,"English",null,null,null,"5738638","/books/OL6617008M",125,"3",116,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Absolute Guide to Growing and Microdosing Psilocybin Mushroom for Starters",null,null,"60",null,null,null,null,"0.127",null,"9798836908751",null,null,null,null,"English",null,null,null,null,"/books/OL46778645M",130,"4",208,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Record of decision and resource management plan amendments for geothermal leasing in the western United States.",null,null,"1 v. (various pagings) :",null,null,null,null,null,null,null,null,"2009358572",null,null,"English",null,null,null,null,"/books/OL23930742M",110,"5",93,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Folklore musical infantil",null,null,null,null,null,null,null,null,"8446016354","9788446016359",null,null,null,null,null,null,null,null,"14299299","/books/OL47672490M",65,"6",15,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Haunted Britain","A Guide to the Supernatural in England, Scotland, and Wales",null,null,null,null,null,null,null,"0330243284","9780330243285",null,null,null,null,"English",null,null,null,null,"/books/OL9383216M",50,"7",36,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Sony Labou Tansi, ou, La quête permanente du sens","actes du colloque international tenu à Brazzaville les 13, 14 et 15 juin 1996 avec le concours de l'Union européenne, Programme culturel régional Bantu",null,"487 p. ;",null,null,null,null,null,"2738451071",null,null,"97199656",null,null,"French",null,null,null,"2166869","/books/OL294111M",45,"8",47,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Unearthing Politics","Environment and Contestation in Post-Socialist Vietnam",null,null,null,null,null,null,null,null,"9789811631238",null,null,null,null,"English",null,null,null,null,"/books/OL33926332M",30,"9",231,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Antes de Adán",null,null,null,null,null,null,null,"0.305",null,"9781517438142",null,null,null,null,"Spanish",null,null,null,null,"/books/OL54636275M",30,"10",214,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
