publisher_name,created_by,created_at,last_modified_by,last_modified_at,revision
"Insel-Verlag","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"A.J. Stewart","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The Athenæum, Literature Department","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Independently Published","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"U.S. Dept. of the Interior,  Bureau of Land Management","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"AKAL","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Pan","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"L'Harmattan","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Springer Singapore Pte. Limited","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"CreateSpace Independent Publishing Platform","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Chez Maillard d'Orivelle","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"CRC Press LLC","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Guangxi xin hua shu dian fa xing","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Wiley & Sons, Incorporated, John","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"OR Books, LLC","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Temple Smith","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"[publisher not identified]","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Sea World","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Globus","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
